Rank by lowest drawdown,Strategy,Family,Period,Cumulative return %,Max drawdown %,Sharpe ratio,Source file,Notes
1,Lowest drawdown,DCA overlay,2010-06-25 to 2026-05-20,5377.22,-28.74,1.17,All_Strategy_Return_Comparison.csv,reserve_cash; anchor=entry; add at 15%/20%; sell=rebound_from_low 5%; max_extra_days=none
2,Cash regime - Best return with max DD <= 40%,Cash regime,2010-06-25 to 2026-05-20,32076.34,-38.87,1.09,SOXL_TQQQ_Cash_Regime_Summary.csv,selected_and_qqq_cash; SMA250; exit below SMA-5%; reenter above SMA+5%; unit=0.75; cap=1.00; dca=False
3,Advanced DCA - Best return with DD <= 50%,DCA overlay,2010-06-25 to 2026-05-20,43682.98,-47.87,1.2,SOXL_TQQQ_DCA_Advanced_Summary.csv,"unit=0.50, cap=1.00, anchor=entry, add=10%/20%, sell=extra_profit 20%, max_days=10, trend_sma=none, dd_guard=none"
4,Cash + deep DCA - Best full-period return with DD <= 50%,Cash + DCA,2010-07-01 to 2026-05-22,200947.87,-48.24,1.13,SOXL_TQQQ_Cash_DCA_Deep_Summary.csv,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00
5,Cash regime - Best return with max DD <= 50%,Cash regime,2010-06-25 to 2026-05-20,118558.17,-49.97,1.09,SOXL_TQQQ_Cash_Regime_Summary.csv,selected_and_qqq_cash; SMA250; exit below SMA-5%; reenter above SMA+5%; unit=1.00; cap=1.00; dca=False
6,Cash + deep DCA - Best 2020-to-date return with DD <= 50%,Cash + DCA,2010-07-01 to 2026-05-22,250007.83,-51.22,1.13,SOXL_TQQQ_Cash_DCA_Deep_Summary.csv,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00
7,Direct comparison - Cash + deep DCA,Direct comparison normalized common period,2010-07-01 to 2026-05-20,227223.02,-51.22,1.13,SOXL_TQQQ_Cash_vs_Cash_DCA_Summary.csv,Common-date normalized comparison
8,Cash regime - Best Calmar,Cash regime,2010-06-25 to 2026-05-20,324073.66,-51.91,1.17,SOXL_TQQQ_Cash_Regime_Summary.csv,selected_or_qqq_cash; SMA180; exit below SMA-3%; reenter above SMA+5%; unit=1.00; cap=1.00; dca=False
9,"Cash regime - Best balanced: DD <= 55%, 2022 loss <= 35%",Cash regime,2010-06-25 to 2026-05-20,297253.48,-52.16,1.17,SOXL_TQQQ_Cash_Regime_Summary.csv,selected_or_qqq_cash; SMA150; exit below SMA-0%; reenter above SMA+1%; unit=1.00; cap=1.00; dca=False
10,Direct comparison - New cash balanced,Direct comparison normalized common period,2010-07-01 to 2026-05-20,358306.31,-52.16,1.19,SOXL_TQQQ_Cash_vs_Cash_DCA_Summary.csv,Common-date normalized comparison
11,Recommended compromise,DCA overlay,2010-06-25 to 2026-05-20,73135.63,-55.78,1.2,All_Strategy_Return_Comparison.csv,reserve_cash; anchor=rolling_high; add at 5%/40%; sell=extra_profit 20%; max_extra_days=none
12,Cash regime - Best return with 2022 loss <= 25%,Cash regime,2010-06-25 to 2026-05-20,209938.34,-56.08,1.13,SOXL_TQQQ_Cash_Regime_Summary.csv,selected_or_qqq_cash; SMA150; exit below SMA-1%; reenter above SMA+3%; unit=1.00; cap=1.00; dca=False
13,Advanced DCA - Best return with DD <= 60%,DCA overlay,2010-06-25 to 2026-05-20,356512.48,-59.85,1.18,SOXL_TQQQ_DCA_Advanced_Summary.csv,"unit=0.50, cap=1.50, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=200, dd_guard=45.0"
14,Cash regime - Best raw return,Cash regime,2010-06-25 to 2026-05-20,359203.03,-60.52,1.18,SOXL_TQQQ_Cash_Regime_Summary.csv,selected_or_qqq_cash; SMA150; exit below SMA-3%; reenter above SMA+1%; unit=1.00; cap=1.00; dca=False
15,Cash + deep DCA - Best 2020 strategy with 2022 loss <= 20%,Cash + DCA,2010-07-01 to 2026-05-22,191129.52,-64.06,1.05,SOXL_TQQQ_Cash_DCA_Deep_Summary.csv,selected_and_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 0.50->2.00; filter=none; recover=5%; maxDays=20; normal=1.00
16,Advanced DCA - Best return with DD better than SOXL-only,DCA overlay,2010-06-25 to 2026-05-20,2823010.49,-65.54,1.26,SOXL_TQQQ_DCA_Advanced_Summary.csv,"unit=0.67, cap=2.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=200, dd_guard=45.0"
17,SOXL-only SMA50/SMA63 10% stop,Base / benchmark,2010-06-25 to 2026-05-20,41069.8,-66.18,0.93,All_Strategy_Return_Comparison.csv,Automated SOXL-only strategy
18,Cash + deep DCA - Best raw 2020 return,Cash + DCA,2010-07-01 to 2026-05-22,1085038.79,-70.05,1.18,SOXL_TQQQ_Cash_DCA_Deep_Summary.csv,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->2.00; filter=none; recover=5%; maxDays=20; normal=1.00
19,Cash + deep DCA - Best raw full-period return,Cash + DCA,2010-07-01 to 2026-05-22,1107528.82,-71.83,1.18,SOXL_TQQQ_Cash_DCA_Deep_Summary.csv,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->2.00; filter=none; recover=5%; maxDays=20; normal=1.00
20,Best margin while improving base DD,DCA overlay,2010-06-25 to 2026-05-20,2107566.56,-78.85,1.2,All_Strategy_Return_Comparison.csv,margin_3x; anchor=entry; add at 10%/15%; sell=extra_profit 20%; max_extra_days=10
21,Best SOXL/TQQQ rotation,Base / benchmark,2010-06-25 to 2026-05-20,775116.8,-79.24,1.15,All_Strategy_Return_Comparison.csv,Base optimized rotation between SOXL and TQQQ
22,TQQQ buy-hold,Base / benchmark,2010-06-25 to 2026-05-20,34842.88,-81.66,0.91,All_Strategy_Return_Comparison.csv,Benchmark
23,Advanced DCA - Best Calmar,DCA overlay,2010-06-25 to 2026-05-20,24991345075.06,-82.46,1.71,SOXL_TQQQ_DCA_Advanced_Summary.csv,"unit=1.00, cap=2.00, anchor=rolling_high, add=5%/20%, sell=extra_profit 15%, max_days=20, trend_sma=100, dd_guard=none"
